TEXT,Classified 1,Classified 2
"@tedlieu ""COVID does not care who you are. I am scared and you should be, too. All of this is to send the following message: Please, please, stay home if you can. If you need to go out, WEAR A MASK! Do not touch your face. Wash your hands and sanitize oft",pro,pro
We can pretty much sum up the presidency of @realDonaldTrump with the fact that a sign of toughness is whether or not you wear a face mask. #Biden2020 #Biden2020Landslide,pro,pro
Do people not understand 2021 wonâ€™t be any different from 2020 if you donâ€™t actually change your behavior??? WEAR. A. FUCKING. MASK.,pro,pro
wear a mask and make sure it covers your fucking nose too ty,pro,pro
"@JordanChariton If chef doesn't wear mask, then he doesn't run a tight kitchen and probably practices other unsafe shenanigans.",pro,pro
"Everyday Iâ€™m surprised and disappointed from the people on my timelines who are meeting up with friends and not wearing masks. Yâ€™all gonna risk getting sick with COVID-19 so you can get that selfie with your BFF? Ok, good luck in ICU.",pro,pro
"@michelleaidee_ I go to work and wear a mask all day.  I stay away from my coworkers (which is easy since there are 20 of us in a large building) and come home.  I do not go to restaurants or bars, period.  I'm trying to do my part as best as I can.",pro,pro
"Iâ€™m still a little upset that Starbucks employee received 80,000 dollars in tips for telling someone to wear a mask like what was the reason?????",unrelated,unrelated
Pretty sure only one of us is going to survive the 2020 quarantine in this house. Heâ€™d starve before wearing a mask to go to a store. Im feeling like Iâ€™ve got the lead.,pro,pro
"Love â€œcoachesâ€ filming their workouts with their masks around their chins in every shot. Seriously, do your damn part and wear it properly.",pro,pro
"@tressiemcphd And sorry if I seemed rude.  I like that you're masked and smiling.  I reacted to ""like a fool"" because I've watched too many frowning fools angry about being asked to wear a mask in close quarters. ðŸ˜˜",pro,neutral
@nerdi_nik that future.   All because they can't think of someone other than themselves for one bloody fucking second.   Because their 'freedom' to scream at some poor server or retail worker is more important to them than people who depend on them stayin,unrelated,pro
"@LiliPatch1 @SanDiegoCounty Well just wear a mask so you don't get other people sick then.  But why does someone so public, a real estate agent, act so crazy? You know lots of people won't do business with unhinged people. Let me know who the fool from Sh",pro,pro
Why are people so against wearing masks? My personal style points increased significantly since adding maskage to my otherwise suffering game.,pro,pro
"@nerdi_nik I want them to have a 6th birthday. I want to be able to hold them and tell them how proud I am of them. I want to hear them giggle while they call me ""Tia T"" in-person.   And every single one of the selfish fucks who comes flocking to SD count",unrelated,unrelated
"@marcposner @StephBuffamonte I just don't get why so folks are so adamant to die on this mask wearing hill. It's just not that bad, esp when most of these folks only have to wear a mask less than an hour a day. So bizarre.",pro,pro
"@iamWolby @Jason @realDonaldTrump People wearing masks were being ridiculed. Mask wearers were being scored, called selfish, because hospital workers couldn't get masks because citizens were buying and wearing them. That was 3-months ago. I remember.",pro,neutral
@HardlyanAngel @demaria_mike16 @ABC7 You think the cloth over your face is preventing you from getting COVID? Are you and everyone at the protest wearing N-95 mask? Or something even more protective? I love how protest arenâ€™t the issue!,against,against
@EmoryNoakes Good luck!! I've found that I feel a little better when I have a pretty mask to wear. (Today's was crows with knives on a purple background. ðŸ˜Š),pro,pro
@KristinDGaspar Black Lives Matter. Wear a mask.,pro,pro
"@SethAbramson If it gets his followers to wear masks, who cares about yet more proof that heâ€™s an idiot?",pro,pro
I'm getting tired of customers not wearing masks and getting angry when we ask them to wear their mask :-( are they toddlers? I'm doing my part to keep you safe. Please do your part.,pro,pro
"But the fact that so many people (and not just folks throwing temper tantrums in Trader Joeâ€™s) have decided they donâ€™t need to wear a mask bc they are young, or bc it feels weird, or bc they â€œfeel fine,â€ demonstrates our precious individualism is truly just toxic selfishness.",pro,neutral
Iâ€™m done.  Yes the Trump administration &amp; (R) Governors have been completely irresponsible and incompetent.  BUT how many times do people have to hear they need to wear masks before THEY WEAR THEIR FREAKING MASKS?!?!?,pro,pro
Itâ€™s policy to wear 1 in...then becomes the Wild Wild West of masks with 70% of ppl giving no fucks &amp; 30% wearing while working out or going machine to machine...how can the â€œfancy gymâ€ be open but then bars canâ€™t be? Lawwwd. Weâ€™re screwed. #sandiego ðŸ¤¡,neutral,neutral
"@BruinMD @CBSLA @ConwayShow People should wear masks. I wear them myself, when I am work, when I go to the grocery store. or bank or liquor store, any place that asks that I do so. But the idea that a person walking their dig could be FINED for not wearin",pro,pro
A patient came in today &amp; was told to wear a mask. He got mad &amp; left &amp; never came back for his appointment,neutral,against
@SheriAWilkinson Yes California cause we all have the Karenâ€™s not wearing masks,pro,pro
@Bright19Rainbow @ChristinaKTLA @Zigmanfreud @GavinNewsom Huh? Everyone at the zoo is required to wear a mask yet it was closed today. Masks donâ€™t stop covid. Iâ€™m with BLM but if the entire state is put on hold â€œTo save livesâ€ so should BLM. Or do,pro,pro
@richardmarx This is why Trump needs to wear a damn mask. #WearADamnMask #WearAMaskSaveALife,pro,pro
"@BruinMD @CBSLA @ConwayShow Because they work in accidents and I prefer not to die if some dumbass rearends me. Very different situation. Years of testing re: seatbelts. Can't say that about face masks. but don't get me wrong. I wear them, I gotta grocery",neutral,neutral
"@cpatrickdood For real. When youâ€™re at a bar or restaurant, you have your mask down to drink or eat, opening up the possibility for transmission. All the protesters were wearing masks. Not to mention the fact that people let their guard down when drinki",pro,neutral
Know whatâ€™s more annoying than wearing a face mask? Listening to all these lil bitches complaining about wearing one.,pro,pro
"My manager said , we canâ€™t make customers wear masks in store, I said sike, not during my shift. no masks no service karen",pro,pro
@Jim_Jordan Wear a jacket AND wear a mask,pro,pro
Wearing a mask regularly in public allows you the time to grow the most bitchen mustache without the weird transitional period of actually growing one out ðŸ¤·ðŸ¼â€â™€ï¸,pro,pro
"@KikoG77841813 @skb_sara @senatemajldr Even Trump finally said people should wear masks, although he seems confused on how they should wear them, of course.",pro,pro
wear a mask &amp; stfu,pro,pro
"@fandybtw It's soooo easy to just wear a mask. I got a covid test today just to be precautious; it was super easy, as I was anticipating something similar to an Egyptian Brain Removal.",pro,pro
"@thepearl64 @mmpadellan Where we go in Encinitas, about 99.5% of the people  wear masks, the other 0.5% (the nutcases) go places we don't.",pro,pro
@cnnbrk We were just supposed to flatten the curve so to not overrun our healthcare system before we can get prepared... weâ€™ve accomplished that... time to wear masks and move forward.,pro,pro
"@Somethi75740529 @GovHolcomb This virus is messing with people of all ages. It doesn't matter if you are currently considered healthy. You can still easily get it and die from it. It's been 80+ degrees here many days in Chicago, and I still wear a mask ev",pro,pro
"@How2Drink I know that some stores ""require"" customers to wear masks to enter, but that excludes people with medical conditions. The associates must assume that if they aren't wearing a mask, then the customer has a medical condition, even though anyone c",neutral,neutral
"@RichardGrenell @Closer1775 @GavinNewsom He lost the last shred of credibility he had.  He shames everyone regarding masks w/lies. In the same stmnt he contradicted himself repeatedlyðŸ¤¦â€â™€ï¸ increased testing, inflated #â€™s, masks donâ€™t work but ",against,against
@awaken_dragon76 @GovHolcomb So why do doctors wear them for hours on end with no problem? Maybe try a different mask if you're having issues. Or go to an allergist to see if you have severe allergies that make it hard for you to breathe. I didn't know I ,pro,pro
@itssmokeyyy_ Can't tell what has been worse. The conspiracy theorists or the people who refuse to wear masks and are absolute idiots.,pro,pro
"@realDonaldTrump People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
@OKM_Ekklesia @GovHolcomb It stops water droplets that the virus needs to live to transfer from person to person. If you wear a mask and someone next to you who has  COVID wears a mask you are way less likely to get it. That's why you see Asian people wea,pro,pro
"@realDonaldTrump @TIME People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"@realDonaldTrump @CNN @FoxNews People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"@realDonaldTrump @foxandfriends @CNN People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"I wear a mask everywhere I go. It's not comfortable, it's not fashionable.  But I do it to show respect to my fellow citizens. I will wear one when teaching if that's what it takes to get back to school.",pro,pro
"@EricTrump @realDonaldTrump People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"@SenateGOP @realDonaldTrump People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
@KUSINews @SullyOnTheAir Idk maybe because nobody was wearing a mask or social distancing as soon as gaslamp opened,pro,pro
"@realDonaldTrump @nytimes People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"@realDonaldTrump @NYCMayor People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"@realDonaldTrump @UnitedWarVets @GrucciFireworks @Scotts_MGro @FedEx People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
"@SteveLamb47834 @GovHolcomb Except people protesting are wearing masks because they care about the well-being of other people, and there have been no spike in cases traced back to protests so far. I've been to at least 6 protests over the last month, some",pro,pro
"@FirstLadyVA @GovernorVA As long as you are both over 18, have consent of the party involved while not under the influence of drugs of alcohol, not coerced, not paid, wear a mask and pay for the damage you cause.",pro,pro
"@WhiteHouse @realDonaldTrump People respect you and follow your lead. Please save lives and wear a mask, @realDonaldTrump. Thank you. #WearAMaskSaveALife",pro,pro
@AnnCoulter Liberals don't believe in science.  Hey Ann...wearing a mask yet?  LOL.,pro,neutral
@MollyPe50340452 @RealMattCouch Go ask for a manager or something while you refuse to wear a mask ðŸ˜‚,pro,pro
Idk why yâ€™all some of yâ€™all donâ€™t wanna wear masks that shit go kinda hard with the right fit,pro,pro
"@juliaioffe @Acyn I've said the same to the sighing wind ... So much could have been achieved in the spring months had we had good federal leadership and strong inter-state teamwork Alas, here we are -- with a weird delusional president and his idiotic fo",pro,neutral
"@ChristinaKTLA @Individual_Intv @GavinNewsom Its too many people to Stop.. Also the ""ReOpeners"" protested for Bars today ðŸ˜‚ðŸ˜‚ July 4th could be a disastrous day for c19 spread :/ .. Wear Your Mask !! But yae... They needed to atleast do Partial Closur",pro,pro
I canâ€™t believe face masks turned into a political issue/debate... youâ€™d think itâ€™s common sense to wear one during a pandemic,pro,pro
"@Xavery_0 I think Iâ€™ve been well past worked up ðŸ¤£ðŸ˜‚. But I think we all should be. Itâ€™s so disgusting the things going on right now in this country. Between the racism, police brutality and the selfish assholes not wearing masks which is prolongi",pro,neutral
"I really hope all these non-mask-wearing people aren't the same ones who hated homeschooling their own kids last spring and can't wait for our free babysitting services to start up again. We'll never get back to ""normal"" until everyone does their part. #MaskUp",pro,pro
@AndrewYang Keep normal life and wear your mask. Know your risk and go weâ€™re you want to go. Let the people do what they want to do. Lockdowns are obviously not the answer.,pro,pro
@faceless_girl @ChristinaKTLA @TuckerMax @GavinNewsom Not wearing masks.,against,against
"@mtracey Republicans tend to think for themselves they don't need talking points from the leader that's the Democrats way, if some people are not wearing mask it's their choice because they study and stay informed and abreast and they don't do what MSNBC&",against,against
The lack of critical thinking/common sense among #maga is unreal. If #COVID19 is spread through our mouths 2 people wearing a MASK are less likely to spread it than 2 people WITHOUT! ITS NOT ROCKET SCIENCE! You morons bitching about masks are the ones PROLONGING IT #WearAMask,pro,pro
"This Covid 19 farce is a Trojan Hoarse @marklevinshow Government Fiats: forcibly wearing masks is unconstitutional . .   This isn't even a question or questioned {?] I find it hard to believe this mandate is enforceable on principle or by design; intolerable. What say you, Mark ?",against,against
@CoolUtahDude @Grandpa_Rufus @IngrahamAngle Thank you. I agree a balance needs to be struck. And it feels like the best we can do is ask people to distance and wear a mask. But that appears to be too much for people. If we could at least all agree to do t,pro,pro
"@SanDiegoCounty Can I get up there and tell everyone to wear a mask, social distance and wash their hands?  I'll even say it in my deep voice and bring my cat malibu as an added authority.",pro,pro
@faceless_girl @ChristinaKTLA @TuckerMax @GavinNewsom Except thatâ€™s not what the governor said. And if social distancing isnâ€™t an issue of you wear a mask then why is it enforced every where except protests. Please do not deny the hypocrisy. That help,against,against
@bayofarizona @juliaioffe California was the fault of younger and clusters of MAGA who refused to wear a mask and social distancing! I know have friends in OC I can say are no longer friends because of their behavior!,pro,neutral
"@riotwomennn @StephBuffamonte Great analogy! Nobody is questioning the duty to wear clothes. But when people are being asked to wear a mask to save others, itâ€™s a big scandal and a restriction of their freedom. I call BS! #MasksSaveLives",pro,pro
"Neither of us has symptoms. Likeliest scenario is that one of the tests is wrong. Seems impossible he was infected at some point and didnâ€™t infect me. Either way, doctors told us the results should not change our behavior, and they wonâ€™t! Wear a mask, yâ€™all ðŸ˜™",pro,pro
@slomotion4199 @GavinNewsom Don't think wearing a mask is capitulating to anything. Just trying to keep ppl from getting sick (like 1918).  The Orwell hash is cool though.,neutral,pro
"@hornekerjustin Funnily enough, with all of this mask wearing on my runs, I find that my VO2 max has gone up. ðŸ˜‚",against,neutral
"@Lakers Is @KingJames advocating for not wearing a mask? If so, I am in!!! Thank you for being a voice of reason against these stupid masks! #NoMask",against,against
@mtracey Everywhere I go where people are in close proximity they are wearing masks. This mask controversy is a canard.,neutral,neutral
"@GavinNewsom Wearing a mask, is lunacy",against,against
"@snide_sally @DocsPix Doesn't matter, you'll be wearing a mask. ðŸ˜‰",neutral,neutral
I had to go to little Italy in downtown San Diego and thereâ€™s literally no sort of social distancing?? No one is wearing masks as if the virus doesnâ€™t exists there,pro,pro
@richdavisphd @providence_phc Scary effective demo.  Thsnk you for conducting and documenting.  WEAR A MASK.,pro,pro
"@KikoG77841813 @skb_sara @senatemajldr Itâ€™s not hard to fathom, itâ€™s ridiculous.   Whatâ€™s so hard about wearing a mask? Surgeons do it for 18 hours in surgery - you can deal for an hour at the grocery store. The only weakness involved is when weak m",pro,pro
@johnpavlovitz You wear a mask because you're afraid for your loved ones!,pro,pro
"@KikoG77841813 @skb_sara @senatemajldr Thatâ€™s simply not I115true. My dad is 85 and lives in I112 Living with a hundred others. Theyâ€™ve been on lockdown since early March and not once person has been infected, much less died.   Stop making stuff up an",pro,pro
@DwyaneWade Heyâ€ has beenâ€ if we wear our mask how come the #s are supposedly going up? This flu will disappear on Nov 4th if â€œdead manâ€ Biden is elected. Never for one second will I live in fear of this BS FLU!,against,neutral
@JohnCornyn So why was it impossible to wear a mask on the flight?,pro,pro
@yunger4real I mean cmon bro we out here wearing medical masks and you folding the blue flag all properly like you banging and Iâ€™m just curious and Iâ€™m barely seeing any red flags ðŸ˜”,pro,pro
@JasonSCampbell This is the very reason why COVID is spreading all these Chiefs of Specialties but specialize in entitlement of ignorance ðŸ¤¦ðŸ¾â€â™€ï¸ðŸ¤¦ðŸ¾â€â™€ï¸People be Smart Wear Your Mask. That Simple!,pro,pro
"Well, it's started. I've lost three or four #Patreon Patrons this week cuz they don't have the funds anymore.  I was already doing my part to stop COVID-19, but now it's impacting me personally for the first time beyond social distancing and mask-wearing.  And I don't like it.",neutral,neutral
"@JohnCornyn Seems like her â€œleadershipâ€ isnâ€™t really working, &amp; doesnâ€™t seem like she is sharing the importance of wearing a mask and social distancing!",pro,neutral
@archambeaum3 I have a right to not wear a mask ðŸ˜¤,against,against
"@JenkinsSucks @SkineyW Jesus...did any of you actually pass GED...how can you be so dumb. If you want the economy back so dear leader might possibly win wear a mask and get tested...or get shut down again. Alex Jones is lying to you, Bill gates is not con",pro,pro
@_tonyjefferson But at this point you gotta know you gotta wear your mask. Our boat depends on it. And if people don't they effectively are hurting your career. Thats the energy I have right now...,pro,pro
@CNN Say no to meth. Wear a mask. Social distance.,pro,pro
"@__kirbs @mgyikes @VibesSushi because Its only roughly a .014% infection rate. I'm not gonna stop living my life and having fun on that low of just getting infected. As long as I take care of myself, and wear a mask, and be sanitary I will be fine",pro,pro
People wear masks for Halloween and have a problem wearing one in public,pro,pro
@Cernovich I fully support your right to VOLUNTARILY wear a mask.,against,neutral
@_tonyjefferson Same. And still waiting to get off unemployment... so wear your mask please,pro,pro
"@laudermusic @drezomusic Just gotta say â€œbut did you dieâ€ is a common meme comment when bad stuff happens. Iâ€™m sure it was meant with no malice and pure sarcasm. Humor is how we deal with tragedy. Hope you get better soon @drezomusic, I hope your po",unrelated,unrelated
"Just wear your mask. Periodt. No questions, just do it! Itâ€™s not that hard people!",pro,pro
"@ABC This is the devastating result of having a President who failed to lead this country in combating this deadly virus and who continues to spew his mixed messages and misinformation--ie: not wearing masks, etc... What a tragedy for Americans!! #VoteTru",pro,pro
"@DaniStapley @Lady_RBF @findingkevin1 @jaimechambers @fox5sandiego We're being asked to UNIFY as a community to do our part in containing the spread of the virus, by wearing masks, washing hands, and social distancing. Let's not conflate inconvenience wit",pro,pro
@austingcommons *at least an hour and at least $100 at Costco. (I support wearing a maskðŸ˜· ),pro,pro
@HannahNancarrow Guys who won't wear a mask probably can't even utter the word tampon,pro,pro
@WalshDanwalsh @tylerjehills @TheRightMelissa @GavinNewsom Lmao. Why lock down then. All we have to do is all wear masks and we can do everything we always have.,pro,pro
@_tonyjefferson To be clear YES you need to wear a mask when grabbing food through the drive thru.   But apparently donâ€™t need one if youâ€™re in a bar in PB throwin back shots that the server hands you ðŸ˜‚,pro,pro
"@atrupar Again, Trump is delusional in thinking ANY of us think about him when we wear a mask. I like to think of any sexy man rather than think of him when I put a mask on.  That would mean a lot of men, since Trump is not sexy in any form or relation to",pro,pro
@realDonaldTrump please wear a mask that states â€œMAGA 2020â€. That will shut the fuck up of the left wing ass wipes.,pro,pro
@thehill Haha. Says the prospecting actress who shows her nipples daily to gain likings and promising career expo. Too show your jipples every day on friends. Never wearing a bra. Now you demand us to wear a mask. What A POS.,against,against
"It sucks knowing that a lot of the people who arenâ€™t practicing social distancing, not wearing masks, or straight up denying Covid wonâ€™t be infected or symptomatic but will endanger hundreds of others",pro,pro
People be lookin at me Crazy cause Iâ€™m wearing my mask at the GYM lol,pro,pro
"Just got a text from one of my very best friends. He thinks he's caught the Rona. Got a notification of an infected coworker from his work.   Him: ""Yeah Sunday was aching, groggy, I haven't tasted shit in 3 days.""  Be careful out there people. Wear a mask!",pro,pro
"One of my best friendsâ€”an incredible cardiologist who has been caring for inpatients in one of the highest hit places in the countryâ€”has #COVID19. ðŸ¥ºðŸ¥º And has all the symptoms: fevers, chills, rigors, loss of smell/taste, headaches. This pandemic isnâ€™t over, folks! Wear a mask.",pro,pro
@JohnCornyn Yea great job on mask wearing. She lost all credibility when she signed on to the task force.,pro,pro
"So, let me get this straight. Conservatives, MAGA Clan Members, &amp; Radical Right are marching in the streets against wearing masks chanting, ""My body, my choice."" These same people fight against a woman's right to choose.",pro,pro
"@CarloNews8 @MartyCaswell You're right, I'm sure none of those people protesting, standing next to each other and not wearing masks have anything to do with the increase in the Covid results. it just happens in restaurants.",pro,pro
"Iâ€™ve made the mistake of going to a few bars over the last month in Huntington, even while wearing my mask and taking precautions everywhere and thinking I was being smart but just tested pro for Covid-19. Wear your Fucking masks and stay home it is nottt worth it",pro,pro
itâ€™s literally stare fucking law to wear a mask in public and this guy had the audacity to ask me why he had to wear one at my work. do you not know whatâ€™s going on in the world rn??,pro,pro
"@nathanfletcher Nathan, the data is sobering. Too many people are not wearing masks. Time to make them mandatory, even outside.",pro,pro
If I can wear a mask on the stair master for 10 minutes Karen can wear hers in Trader Joeâ€™s,pro,pro
@GoLABolts Thank you. Very informative and hopefully more ppl take this seriously and wear masks and avoid gatherings. Again thank you very much for taking the time to answer questions.ðŸ˜·ðŸ‘ðŸ¾ðŸ‘ðŸ¾ðŸ‡ºðŸ‡¸,pro,pro
"New rule: if you don't wear a mask, you don't get to be vaccinated. Just keep using all of that scientific wisdom you got",pro,pro
"@MissActress04 @randinatanian @ReeseW Oh, you mean changes that are made according the research that provides solid basis for their findings? When was the last time the CDC guidelines changed related to wearing of masks?",pro,pro
"@GavinNewsom Tough on crime, tough on keeping California clean maybe? All of a sudden you want to get tough on wearing a mask and closing everything down? ðŸ¤¡ Give me a break, worse Governor ever and Brown was really badðŸ’©ðŸ’©ðŸ’©",against,against
People who refuse to wear a mask + anti-vaxxers = individuals with superior knowledge in immunology and virology and an elevated level of empathy ðŸŒˆ,pro,pro
@thsuburbanmommy @cherylhart00 @nnikkoh Depends of the area. Roughly 45% of the people walking/biking around the parks in Bay Park near the Hilton still aren't wearing masks. I'm glad lots more people in University City where I work are.,against,against
People who refuse to wear a mask + anti-vaxxers = individuals with superior knowledge in immunology and virology and an elevated consciousness that distinguishes them from the rest of the us. The seekers of truth ðŸŒˆ,against,against
"Hi, @Instacart. How are you? Had 2 delivery drivers show up today. The 1st one wasn't wearing a mask; the 2nd one had a mask on, but it didn't cover his nose. Please instruct your delivery staff on how to properly cover their faces. Thank you. #COVID19",pro,pro
@KristinDGaspar @jim_desmond Notice she does not have the decency to wear a face mask to protect others. This November send her home and elect someone that will care for people first and not her political career...@lawsonremer,pro,pro
white ppl either wearing a mask in the car by themselves or not at all. but never in public. bizarre,pro,pro
"Hey @BlazePizza San Clemente, CA. Major fail. Multiple workers wearing masks over mouth only. Noses exposed. #WearADamnMask",pro,pro
"is wearing a seatbelt uncomfortable? sometimes. but will it save mine and others lives? yes.   is wearing a mask uncomfortable? sometimes. but will it save mine and others lives? yes.   you see the point here?  if not, itâ€™s wear a mask",pro,pro
All you assholes complaining about wearing a mask follow @AuschwitzMuseum and then tell me the fucking reasons you feel oppressed.,pro,pro
@Smith22Coach @CAgovernor @CAPublicHealth @GavinNewsom @CHHSAgency @Cal_OES @ListosCA @CAStateParks @CalVolunteers Protestors wear masks!  Do you?,pro,pro
"a customer at work today said â€œwoah Iâ€™ve never seen you here, but wowâ€ and fucking winked at me let me remind yâ€™all I was wearing a mask lmfao",pro,pro
"If you or a loved one has been refused entry to a private business for not wearing a mask and you would like to explore legal options to protect your Constitutional rights, our law firm is happy to explain just how fucking stupid you are. (seen on Facebook)",pro,pro
@NoToMobs @SethAbramson I donâ€™t think covid cares what political party you belong too I seen the Map your Red states are going to make the pandemic worse Wear a mask!,pro,pro
"@CarloNews8 Thank you for clarifying and I concur. When people are in groups outdoors, not socially distanced, and wear masks it is not enough.",neutral,neutral
Young people must be heard! Wear a mask #gotogell #beachtown #sdrep,pro,pro
@RealMattCouch Why are wearing masks political? Mind boggling !,pro,pro
@CAisunconstitu1 @MayorOfLA @CAgovernor Come on this is a bad example.  Nazi vs bars closed wear mask,pro,pro
If my coworkers arenâ€™t going to wear a mask they need to stay their ass at home!!,pro,pro
"@GavinNewsom It's just common sense to wear a mask, which sadly very little people today have. We are in very sad times right now",pro,pro
Ppl will go as far as endangering themselves and others by not wearing a mask to make a political statement. If you think you are being disenfranchised by being asked to wear a mask then do me a favor and donâ€™t wear a seatbelt while youâ€™re at it. Natural selection do your thing.,pro,pro
@swanson_lee @drnickgreiner Good long read and a few citations to review.  The recommendation is mostly centered on protecting the wearer from becoming infected.  Very little debate about reducing spread.  Out links land on recommendations to wear masks t,against,against
@grimlintony04 I only wear one under penalty of being fined. I'd be acutely embarrassed if President Trump wore a superfluous mask.,against,against
"We're starting a new campaign on the formula for economic recovery = Wash your hands, wear a mask, and try to keep your distance. Want to help spread the news?",pro,pro
@mattlieto Wear a mask or Iâ€™ll fight you.,pro,pro
@JackTheScruffin @vosdscott Social distancing AND mask wearing. Many people walking on waterfront without masks and *cough* coughing.,pro,pro
"â€œChristians wear crosses, Muslims wear a hijab, and members of the Church of Secular Science bow to the Gods of Data by wearing a mask as their symbol, demonstrating that they are the elite; smarter, more rational, and morally superior to everyone else.â€ ðŸ¤¦",pro,pro
"â€œMask-wearing has become a totem, a secular religious symbol,â€ Castellanos said.  (Alex Castellanos, a veteran Republican strategist) ðŸ™„ ðŸ‘‡",neutral,neutral
@ChrisCuomo Trump sees Biden with a mask so he thinks he can help himself by wearing his own maskâ€”itâ€™s like the Lone Ranger meets the out of town gun slinger. itâ€™s gonna be a showdown,neutral,neutral
"@tanyav626 Huh? No one said covid isnâ€™t the problem either , all I said if you follow what youâ€™re told to do , you will be at low risk. Seems like you also want to be right so bad all I said was to wear your mask and wash your hands ðŸ¤™ðŸ½",pro,pro
yaâ€™ll wore Ed Hardy but wonâ€™t wear a mask...... inch resting,pro,pro
@TanookiKuribo @chainsaaaaw @JoshuaPotash BLM protesters in general wear masks.,pro,pro
